station_id,health_score,run_date,remaining_life_prediction
ST06,87.2,2026-09-04 16:27:12,~3 day(s) (trend-based estimate)
ST01,88.4,2026-09-04 16:27:12,~4 day(s) (trend-based estimate)
ST04,64.9,2026-09-04 17:14:12,~15 day(s) (trend-based estimate)
ST09,80.8,2026-09-04 17:14:12,~3 day(s) (trend-based estimate)
ST08,81.4,2026-09-04 17:14:12,~14 day(s) (trend-based estimate)
ST05,83.3,2026-09-04 17:14:12,~21 day(s) (trend-based estimate)
ST10,85.9,2026-09-04 17:14:12,~4 day(s) (trend-based estimate)
ST03,85.9,2026-09-04 17:14:12,~1 day(s) (trend-based estimate)
ST02,86.5,2026-09-04 17:14:12,< 1 day (trend-based estimate)
ST07,87.0,2026-09-04 17:14:12,~1 day(s) (trend-based estimate)
ST06,87.2,2026-09-04 17:14:12,~3 day(s) (trend-based estimate)
ST01,88.4,2026-09-04 17:14:12,~4 day(s) (trend-based estimate)
ST04,64.9,2026-09-04 17:27:36,~15 day(s) (trend-based estimate)
ST09,80.8,2026-09-04 17:27:36,~3 day(s) (trend-based estimate)
ST08,81.4,2026-09-04 17:27:36,~14 day(s) (trend-based estimate)
ST05,83.3,2026-09-04 17:27:36,~21 day(s) (trend-based estimate)
ST10,85.9,2026-09-04 17:27:36,~4 day(s) (trend-based estimate)
ST03,85.9,2026-09-04 17:27:36,~1 day(s) (trend-based estimate)
ST02,86.5,2026-09-04 17:27:36,< 1 day (trend-based estimate)
ST07,87.0,2026-09-04 17:27:36,~1 day(s) (trend-based estimate)
ST06,87.2,2026-09-04 17:27:36,~3 day(s) (trend-based estimate)
ST01,88.4,2026-09-04 17:27:36,~4 day(s) (trend-based estimate)
ST04,64.9,2026-09-04 23:29:25,~15 day(s) (trend-based estimate)
ST09,80.8,2026-09-04 23:29:25,~3 day(s) (trend-based estimate)
ST08,81.4,2026-09-04 23:29:25,~14 day(s) (trend-based estimate)
ST05,83.3,2026-09-04 23:29:25,~21 day(s) (trend-based estimate)
ST10,85.9,2026-09-04 23:29:25,~4 day(s) (trend-based estimate)
ST03,85.9,2026-09-04 23:29:25,~1 day(s) (trend-based estimate)
ST02,86.5,2026-09-04 23:29:25,< 1 day (trend-based estimate)
ST07,87.0,2026-09-04 23:29:25,~1 day(s) (trend-based estimate)
ST06,87.2,2026-09-04 23:29:25,~3 day(s) (trend-based estimate)
ST01,88.4,2026-09-04 23:29:25,~4 day(s) (trend-based estimate)
ST04,55.4,2026-09-05 18:11:45,~15 day(s) (trend-based estimate)
ST07,61.1,2026-09-05 18:11:45,~1 day(s) (trend-based estimate)
ST02,62.8,2026-09-05 18:11:45,< 1 day (trend-based estimate)
ST10,66.3,2026-09-05 18:11:45,~4 day(s) (trend-based estimate)
ST03,67.9,2026-09-05 18:11:45,~1 day(s) (trend-based estimate)
ST09,69.1,2026-09-05 18:11:45,~3 day(s) (trend-based estimate)
ST06,71.2,2026-09-05 18:11:45,~3 day(s) (trend-based estimate)
ST08,72.2,2026-09-05 18:11:45,~14 day(s) (trend-based estimate)
ST05,73.8,2026-09-05 18:11:45,~21 day(s) (trend-based estimate)
ST01,76.6,2026-09-05 18:11:45,~4 day(s) (trend-based estimate)
ST02,53.5,2026-09-07 15:31:22,< 1 day (trend-based estimate)
ST07,54.5,2026-09-07 15:31:22,~1 day(s) (trend-based estimate)
ST03,55.9,2026-09-07 15:31:22,~1 day(s) (trend-based estimate)
ST09,59.3,2026-09-07 15:31:22,~3 day(s) (trend-based estimate)
ST06,61.0,2026-09-07 15:31:22,~3 day(s) (trend-based estimate)
ST04,61.3,2026-09-07 15:31:22,~15 day(s) (trend-based estimate)
ST10,63.5,2026-09-07 15:31:22,~4 day(s) (trend-based estimate)
ST01,65.2,2026-09-07 15:31:22,~4 day(s) (trend-based estimate)
ST08,71.4,2026-09-07 15:31:22,~14 day(s) (trend-based estimate)
ST05,75.8,2026-09-07 15:31:22,~21 day(s) (trend-based estimate)
ST02,53.5,2026-09-07 16:26:34,< 1 day (trend-based estimate)
ST07,54.5,2026-09-07 16:26:34,~1 day(s) (trend-based estimate)
ST03,55.9,2026-09-07 16:26:34,~1 day(s) (trend-based estimate)
ST09,59.3,2026-09-07 16:26:34,~3 day(s) (trend-based estimate)
ST06,61.0,2026-09-07 16:26:34,~3 day(s) (trend-based estimate)
ST04,61.3,2026-09-07 16:26:34,~15 day(s) (trend-based estimate)
ST10,63.5,2026-09-07 16:26:34,~4 day(s) (trend-based estimate)
ST01,65.2,2026-09-07 16:26:34,~4 day(s) (trend-based estimate)
ST08,71.4,2026-09-07 16:26:34,~14 day(s) (trend-based estimate)
ST05,75.8,2026-09-07 16:26:34,~21 day(s) (trend-based estimate)
ST02,53.5,2026-09-07 18:58:57,< 1 day (trend-based estimate)
ST07,54.5,2026-09-07 18:58:57,~1 day(s) (trend-based estimate)
ST03,55.9,2026-09-07 18:58:57,~1 day(s) (trend-based estimate)
ST09,59.3,2026-09-07 18:58:57,~3 day(s) (trend-based estimate)
ST06,61.0,2026-09-07 18:58:57,~3 day(s) (trend-based estimate)
ST04,61.3,2026-09-07 18:58:57,~15 day(s) (trend-based estimate)
ST10,63.5,2026-09-07 18:58:57,~4 day(s) (trend-based estimate)
ST01,65.2,2026-09-07 18:58:57,~4 day(s) (trend-based estimate)
ST08,71.4,2026-09-07 18:58:57,~14 day(s) (trend-based estimate)
ST05,75.8,2026-09-07 18:58:57,~21 day(s) (trend-based estimate)
ST02,53.5,2026-09-08 10:11:01,< 1 day (trend-based estimate)
ST07,54.5,2026-09-08 10:11:01,~1 day(s) (trend-based estimate)
ST03,55.9,2026-09-08 10:11:01,~1 day(s) (trend-based estimate)
ST09,59.3,2026-09-08 10:11:01,~3 day(s) (trend-based estimate)
ST06,61.0,2026-09-08 10:11:01,~3 day(s) (trend-based estimate)
ST04,61.3,2026-09-08 10:11:01,~15 day(s) (trend-based estimate)
ST10,63.5,2026-09-08 10:11:01,~4 day(s) (trend-based estimate)
ST01,65.2,2026-09-08 10:11:01,~4 day(s) (trend-based estimate)
ST08,71.4,2026-09-08 10:11:01,~14 day(s) (trend-based estimate)
ST05,75.8,2026-09-08 10:11:01,~21 day(s) (trend-based estimate)
